threads,size,view,total_time_ms,workload_time_ms,overhead_ms
1,512,0,777.04,776.94,0.11
1,1024,0,3082.97,3082.83,0.14
1,2048,0,12226.54,12226.40,0.15
2,512,0,390.85,390.71,0.14
2,1024,0,1527.89,1527.32,0.57
2,2048,0,6358.64,6357.45,1.19
4,512,0,195.91,195.85,0.06
4,1024,0,797.62,797.56,0.07
4,2048,0,3126.82,3126.77,0.05
8,512,0,115.16,115.08,0.08
8,1024,0,453.13,453.06,0.07
8,2048,0,1852.95,1852.85,0.10
