nodes,threads,density,total_time,workload_time,overhead
500,1,0.01,1.917320,1.917311,0.000009
500,1,0.10,2.009877,2.009863,0.000015
500,1,0.25,2.303791,2.303782,0.000008
500,1,0.50,2.301007,2.300996,0.000011
500,1,0.75,1.981094,1.981085,0.000010
500,1,1.00,2.590042,2.590031,0.000012
500,2,0.01,1.434291,1.434280,0.000011
500,2,0.10,2.584551,2.584541,0.000010
500,2,0.25,2.082563,2.082549,0.000014
500,2,0.50,1.321449,1.321432,0.000017
500,2,0.75,1.149569,1.149560,0.000009
500,2,1.00,1.018215,1.018207,0.000008
500,4,0.01,0.991482,0.991468,0.000014
500,4,0.10,0.972284,0.972267,0.000018
500,4,0.25,0.774227,0.774217,0.000010
500,4,0.50,1.227296,1.227242,0.000054
500,4,0.75,0.926683,0.926668,0.000014
500,4,1.00,1.203868,1.203854,0.000014
500,8,0.01,0.838585,0.838575,0.000010
500,8,0.10,0.964843,0.964830,0.000013
500,8,0.25,0.717393,0.717361,0.000033
500,8,0.50,0.743367,0.743354,0.000012
500,8,0.75,1.318815,1.318801,0.000014
500,8,1.00,0.619356,0.619345,0.000010
500,16,0.01,0.935259,0.935248,0.000011
500,16,0.10,1.336355,1.336281,0.000074
500,16,0.25,1.046145,1.046130,0.000015
500,16,0.50,1.348094,1.348083,0.000012
500,16,0.75,1.029217,1.029207,0.000010
500,16,1.00,1.288645,1.288629,0.000016
1000,1,0.01,15.722689,15.722680,0.000009
1000,1,0.10,20.353280,20.353269,0.000011
1000,1,0.25,18.570643,18.570626,0.000018
1000,1,0.50,17.424720,17.424657,0.000063
1000,1,0.75,23.450892,23.450867,0.000024
1000,1,1.00,16.168059,16.168044,0.000015
1000,2,0.01,12.461732,12.461723,0.000009
1000,2,0.10,8.837105,8.837091,0.000014
1000,2,0.25,9.606969,9.606956,0.000013
1000,2,0.50,9.443755,9.443740,0.000015
1000,2,0.75,8.708094,8.708080,0.000014
1000,2,1.00,10.495421,10.495407,0.000014
1000,4,0.01,8.616640,8.616629,0.000011
1000,4,0.10,8.885125,8.885110,0.000016
1000,4,0.25,9.448098,9.448088,0.000010
1000,4,0.50,10.914718,10.914699,0.000019
1000,4,0.75,9.064903,9.064887,0.000016
1000,4,1.00,7.395516,7.395495,0.000021
1000,8,0.01,6.799145,6.799137,0.000008
1000,8,0.10,9.735354,9.735344,0.000011
1000,8,0.25,8.433592,8.433568,0.000024
1000,8,0.50,7.890123,7.890111,0.000012
1000,8,0.75,8.610363,8.610352,0.000011
1000,8,1.00,7.585094,7.585078,0.000016
1000,16,0.01,7.097970,7.097959,0.000010
1000,16,0.10,6.920780,6.920770,0.000010
1000,16,0.25,7.196902,7.196889,0.000013
1000,16,0.50,6.931268,6.931258,0.000009
1000,16,0.75,7.199791,7.199783,0.000008
1000,16,1.00,6.577666,6.577653,0.000013
