Nodes,Threads,Density,TotalTime,WorkTime,Overhead
500,1,0.01,0.610277,0.609958,0.000320
500,1,0.10,0.787207,0.779174,0.008033
500,1,0.25,0.729380,0.728445,0.000934
500,1,0.50,0.766041,0.765504,0.000538
500,1,0.75,0.664535,0.663369,0.001167
500,1,1.00,0.740766,0.740074,0.000692
500,2,0.01,0.487471,0.487024,0.000446
500,2,0.10,0.629908,0.629099,0.000809
500,2,0.25,0.563302,0.562511,0.000792
500,2,0.50,0.725214,0.724586,0.000628
500,2,0.75,0.573827,0.572572,0.001255
500,2,1.00,0.586767,0.584302,0.002465
500,4,0.01,0.432248,0.430874,0.001374
500,4,0.10,0.422521,0.421702,0.000820
500,4,0.25,0.477185,0.476363,0.000821
500,4,0.50,0.233824,0.232487,0.001337
500,4,0.75,0.287521,0.286555,0.000966
500,4,1.00,0.292276,0.291253,0.001024
500,8,0.01,0.328273,0.324887,0.003386
500,8,0.10,0.331737,0.329942,0.001796
500,8,0.25,0.321404,0.319535,0.001869
500,8,0.50,0.226983,0.225183,0.001800
500,8,0.75,0.354268,0.352146,0.002122
500,8,1.00,0.291360,0.287156,0.004204
500,16,0.01,0.411170,0.403974,0.007196
500,16,0.10,0.561870,0.557238,0.004632
500,16,0.25,0.448085,0.440142,0.007943
500,16,0.50,0.440376,0.433217,0.007158
500,16,0.75,0.543446,0.531687,0.011758
500,16,1.00,0.540413,0.535632,0.004781
1000,1,0.01,5.629476,5.628858,0.000617
1000,1,0.10,6.475949,6.466881,0.009068
1000,1,0.25,5.772484,5.763489,0.008995
1000,1,0.50,5.980982,5.967787,0.013195
1000,1,0.75,6.245894,6.245015,0.000880
1000,1,1.00,5.942611,5.941957,0.000654
1000,2,0.01,4.085758,4.083840,0.001918
1000,2,0.10,4.127658,4.126619,0.001039
1000,2,0.25,3.938376,3.937667,0.000709
1000,2,0.50,4.025865,4.022798,0.003066
1000,2,0.75,4.732178,4.731308,0.000870
1000,2,1.00,4.286641,4.283082,0.003559
1000,4,0.01,1.768887,1.767915,0.000972
1000,4,0.10,2.056358,2.053370,0.002988
1000,4,0.25,1.966445,1.965293,0.001151
1000,4,0.50,2.524741,2.523257,0.001484
1000,4,0.75,2.267595,2.266217,0.001378
1000,4,1.00,2.130354,2.127565,0.002789
1000,8,0.01,1.564565,1.559982,0.004583
1000,8,0.10,1.260288,1.257983,0.002305
1000,8,0.25,1.678278,1.673219,0.005060
1000,8,0.50,1.718227,1.715741,0.002486
1000,8,0.75,1.532796,1.528425,0.004371
1000,8,1.00,1.382113,1.378446,0.003667
1000,16,0.01,1.179887,1.174492,0.005395
1000,16,0.10,1.516829,1.512194,0.004635
1000,16,0.25,1.426328,1.423044,0.003284
1000,16,0.50,1.329538,1.326543,0.002995
1000,16,0.75,1.724507,1.720154,0.004353
1000,16,1.00,1.769158,1.760823,0.008336
